code_name,n,k,d,p,overhead_ratio,P_corr,q_L,P_base,P_group,P_fallback,P_full_bound,threshold,advantage_margin,advantageous
"[[11,1,5]]",11,1,5,0.13,0.525,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.0595578681544864,-0.1459467159941581,False
"[[11,1,5]]",11,1,5,0.13,0.5375,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.0682427687131297,-0.15463161655280144,False
"[[11,1,5]]",11,1,5,0.13,0.55,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.076927669271773,-0.1633165171114448,False
"[[11,1,5]]",11,1,5,0.13,0.5625,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.0856125698304164,-0.17200141767008814,False
"[[11,1,5]]",11,1,5,0.13,0.5750000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.0942974703890598,-0.1806863182287315,False
"[[11,1,5]]",11,1,5,0.13,0.5875,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.102982370947703,-0.18937121878737462,False
"[[11,1,5]]",11,1,5,0.13,0.6000000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1116672715063465,-0.1980561193460182,False
"[[11,1,5]]",11,1,5,0.13,0.6125,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1203521720649898,-0.20674101990466154,False
"[[11,1,5]]",11,1,5,0.13,0.625,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.129037072623633,-0.21542592046330467,False
"[[11,1,5]]",11,1,5,0.13,0.6375000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1377219731822765,-0.22411082102194824,False
"[[11,1,5]]",11,1,5,0.13,0.65,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1464068737409197,-0.23279572158059136,False
"[[11,1,5]]",11,1,5,0.13,0.6625000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.155091774299563,-0.2414806221392347,False
"[[11,1,5]]",11,1,5,0.13,0.675,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1637766748582064,-0.25016552269787806,False
"[[11,1,5]]",11,1,5,0.13,0.6875,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1724615754168497,-0.2588504232565214,False
"[[11,1,5]]",11,1,5,0.13,0.7000000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1811464759754933,-0.267535323815165,False
"[[11,1,5]]",11,1,5,0.13,0.7125,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1898313765341364,-0.2762202243738081,False
"[[11,1,5]]",11,1,5,0.13,0.7250000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.1985162770927797,-0.28490512493245146,False
"[[11,1,5]]",11,1,5,0.13,0.7375,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.207201177651423,-0.2935900254910948,False
"[[11,1,5]]",11,1,5,0.13,0.75,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.2158860782100664,-0.30227492604973816,False
"[[11,1,5]]",11,1,5,0.13,0.7625000000000001,0.8367871440091981,0.16321285599080193,0.6947920446914665,0.9942847833185422,0.5,0.9136111521603283,1.2245709787687098,-0.3109598266083815,False
