p,P_ideal,q_no,q_qec,P_no_qec,P_qec,P_full_bound
0.12,0.9942847833185422,0.12,0.039744,0.8749706093203171,0.95476792889033,0.97463992889033
0.122,0.9942847833185422,0.122,0.041020304,0.87298203975368,0.9534989192442415,0.9740090712442413
0.124,0.9942847833185422,0.124,0.042314752,0.870993470187043,0.9522118692950443,0.9733692452950443
0.126,0.9942847833185422,0.126,0.043627248,0.8690049006204059,0.950906874494078,0.9727204984940779
0.128,0.9942847833185422,0.128,0.044957696,0.8670163310537687,0.9495840302926813,0.9720628782926813
0.13,0.9942847833185422,0.13,0.04630600000000001,0.8650277614871317,0.9482434321421939,0.9713964321421938
0.132,0.9942847833185422,0.132,0.04767206400000001,0.8630391919204946,0.9468851754939545,0.9707212074939544
0.134,0.9942847833185422,0.134,0.04905579200000001,0.8610506223538575,0.9455093557993027,0.9700372517993028
0.136,0.9942847833185422,0.136,0.050457088000000004,0.8590620527872205,0.9441160685095775,0.9693446125095775
0.138,0.9942847833185422,0.138,0.051875856000000005,0.8570734832205834,0.9427054090761183,0.9686433370761183
0.14,0.9942847833185422,0.14,0.053312000000000005,0.8550849136539462,0.9412774729502641,0.967933472950264
0.14200000000000002,0.9942847833185422,0.14200000000000002,0.054765424000000014,0.8530963440873092,0.9398323555833541,0.9672150675833541
0.14400000000000002,0.9942847833185422,0.14400000000000002,0.05623603200000001,0.8511077745206721,0.9383701524267275,0.9664881684267275
0.146,0.9942847833185422,0.146,0.057723727999999995,0.849119204954035,0.9368909589317237,0.9657528229317237
0.148,0.9942847833185422,0.148,0.05922841599999999,0.847130635387398,0.9353948705496817,0.9650090785496819
0.15,0.9942847833185422,0.15,0.06075,0.8451420658207609,0.9338819827319408,0.9642569827319409
0.152,0.9942847833185422,0.152,0.062288383999999995,0.8431534962541237,0.93235239092984,0.96349658292984
0.154,0.9942847833185422,0.154,0.063843472,0.8411649266874867,0.9308061905947188,0.9627279265947188
0.156,0.9942847833185422,0.156,0.065415168,0.8391763571208496,0.9292434771779161,0.9619510611779161
0.158,0.9942847833185422,0.158,0.067003376,0.8371877875542125,0.9276643461307714,0.9611660341307715
0.16,0.9942847833185422,0.16,0.068608,0.8351992179875755,0.9260688929046237,0.9603728929046236
0.162,0.9942847833185422,0.162,0.070228944,0.8332106484209383,0.9244572129508122,0.959571684950812
0.164,0.9942847833185422,0.164,0.07186611200000001,0.8312220788543012,0.9228294017206761,0.9587624577206759
0.166,0.9942847833185422,0.166,0.07351940800000002,0.8292335092876642,0.9211855546655547,0.9579452586655548
0.168,0.9942847833185422,0.168,0.075188736,0.8272449397210271,0.9195257672367871,0.9571201352367873
0.17,0.9942847833185422,0.17,0.07687400000000001,0.82525637015439,0.9178501348857125,0.9562871348857126
0.17200000000000001,0.9942847833185422,0.17200000000000001,0.078575104,0.823267800587753,0.9161587530636702,0.9554463050636702
0.17400000000000002,0.9942847833185422,0.17400000000000002,0.08029195200000001,0.8212792310211158,0.9144517172219994,0.9545976932219995
0.176,0.9942847833185422,0.176,0.082024448,0.8192906614544788,0.9127291228120392,0.9537413468120393
0.178,0.9942847833185422,0.178,0.083772496,0.8173020918878418,0.9109910652851287,0.9528773132851287
0.18,0.9942847833185422,0.18,0.085536,0.8153135223212047,0.9092376400926073,0.9520056400926074
0.182,0.9942847833185422,0.182,0.087314864,0.8133249527545676,0.9074689426858142,0.9511263746858143
0.184,0.9942847833185422,0.184,0.089108992,0.8113363831879304,0.9056850685160885,0.9502395645160885
0.186,0.9942847833185422,0.186,0.09091828800000001,0.8093478136212934,0.9038861130347694,0.9493452570347694
0.188,0.9942847833185422,0.188,0.092742656,0.8073592440546563,0.9020721716931961,0.9484434996931961
0.19,0.9942847833185422,0.19,0.09458200000000001,0.8053706744880192,0.9002433399427078,0.9475343399427079
0.192,0.9942847833185422,0.192,0.096436224,0.8033821049213822,0.8983997132346438,0.9466178252346439
0.194,0.9942847833185422,0.194,0.09830523200000002,0.8013935353547451,0.8965413870203433,0.9456940030203431
0.196,0.9942847833185422,0.196,0.10018892800000002,0.7994049657881079,0.8946684567511451,0.9447629207511452
0.198,0.9942847833185422,0.198,0.10208721600000002,0.7974163962214709,0.8927810178783889,0.9438246258783889
0.2,0.9942847833185422,0.2,0.10400000000000004,0.7954278266548338,0.8908791658534138,0.9428791658534138
