M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,positive_certificate,decoding_method,result_type
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,1,random,"1,2|0,3",optimized,0.5168587273651523,0.5169184771146739,0.5168856599316066,0.5168905445482195,3.0,2,-0.08617299610228618,5.386513290877089e-06,2.1160040289849538e-08,False,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,1,overlap_aware,"0,1|2,3",optimized,0.9999730674335456,0.5169184771146739,1.0,0.5168905445482195,3.0,2,0.07486511725384493,5.386513290877089e-06,2.1160040289849538e-08,True,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,random,"0,1|2,3",optimized,0.980743011322938,0.9580566180642833,0.9808075324846002,0.9579910969026211,2.4166666666666665,2,-0.07320361469161557,1.2904232332447067e-05,5.0352382586657854e-08,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,overlap_aware,"0|1,2,3",optimized,0.9999354788383378,0.9580566180642833,1.0,0.9579910969026211,2.4166666666666665,2,-0.06526190399558807,1.2904232332447067e-05,5.0352382586657854e-08,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,random,"0,1|2,3",optimized,0.9807598619920197,0.9697449199697312,0.9808075324845983,0.9696962494771526,2.4166666666666665,2,-0.07904079295368505,9.534098515724796e-06,1.8482382538278376e-08,False,exact_sdp,exact
4,strong_skew,0.75,7475,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,overlap_aware,"0|1,2,3",optimized,0.9999998037781554,0.9696974456989972,1.0,0.9696962494771526,2.4166666666666665,2,-0.07105570059646871,3.9244368906732037e-08,1.7116193845034988e-10,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,random,"1,3|0,2",optimized,0.9807430113229376,0.9580566180642787,0.9808075324845984,0.9579910969026179,2.4166666666666665,2,-0.0732036146916134,1.290423233215341e-05,5.0352382561411256e-08,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,0,overlap_aware,"0|1,2,3",optimized,0.9999354788383392,0.9580566180642787,1.0,0.9579910969026179,2.4166666666666665,2,-0.06526190399558512,1.290423233215341e-05,5.0352382561411256e-08,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,random,"1,3|0,2",optimized,0.999997465230386,0.9696997823408754,0.9999999980941199,0.9696962494771415,2.4166666666666665,2,-0.07105783659234688,5.065727467720347e-07,1.4560518009395404e-09,False,exact_sdp,exact
4,strong_skew,0.75,7506,0.75;0.083333333;0.083333333;0.083333333,1;3;3;2,1.4166666666666665,1,overlap_aware,"0|1,2,3",optimized,0.999999803778162,0.9696974456989795,1.0,0.9696962494771415,2.4166666666666665,2,-0.07105570059645722,3.924436758966592e-08,1.7116193247051764e-10,False,exact_sdp,exact
8,zipf,0.8,7880,0.30919548;0.17758617;0.12839146;0.10199647;0.085321236;0.07374153;0.065186057;0.05858159,2;2;3;3;4;4;4;4,2.7960487561691467,1,overlap_aware,"0|1,4,6|2,3,5,7",optimized,,,0.9963783934776926,0.9885526240578593,4.796048756169147,3,,,,False,pgm_approx,approximate
8,zipf,1.8,7980,0.60357403;0.17333112;0.083543427;0.049776294;0.03331076;0.023991549;0.018178334;0.014294487,1;2;3;5;5;5;6;6,1.9310964893130511,1,overlap_aware,"0|1,6|2,3,4,5,7",optimized,,,0.9961633761676026,0.9924814147971509,3.931096489313051,3,,,,False,pgm_approx,approximate
