p,scheme,code_name,n,k,d,redundancy_r,q_L,P_corr,P_global_opt,P_group,P_fallback,P_success,C_total,eta,baseline_type
0.16,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.43484296827319113,0.5651570317268089,0.6947920446914665,0.9942847833185422,0.5,0.7793485209680362,20.0,0.03896742604840181,group_QEC
0.16,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.25208903127690085,0.7479109687230991,0.6947920446914665,0.9942847833185422,0.5,0.869681011116858,23.799999999999997,0.036541218954489835,group_QEC
0.162,global_noQEC,global_noQEC,1,1,1,1.0,0.162,0.838,0.6947920446914665,0.9942847833185422,0.5,0.6470357334514488,1.9,0.3405451228691836,global_noQEC
0.162,group_noQEC,group_noQEC,1,1,1,1.0,0.162,0.838,0.6947920446914665,0.9942847833185422,0.5,0.9142106484209382,2.9,0.31524505117963386,group_noQEC
0.162,rep3_toy,rep3_toy,3,1,1,3.0,0.070228944,0.929771056,0.6947920446914665,0.9942847833185422,0.5,0.9595716849508122,8.6,0.11157810290125725,group_QEC
0.162,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.18729434463667216,0.8127056553633278,0.6947920446914665,0.9942847833185422,0.5,0.9017080387630163,12.4,0.07271839022282389,group_QEC
0.162,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.31707812759522414,0.6829218724047759,0.6947920446914665,0.9942847833185422,0.5,0.8375578897250877,16.2,0.05170110430401776,group_QEC
0.162,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.44162748489346637,0.5583725151065336,0.6947920446914665,0.9942847833185422,0.5,0.7759950376404625,20.0,0.03879975188202313,group_QEC
0.162,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.2583895575832974,0.7416104424167026,0.6947920446914665,0.9942847833185422,0.5,0.8665667568367081,23.799999999999997,0.03641036793431547,group_QEC
0.164,global_noQEC,global_noQEC,1,1,1,1.0,0.164,0.836,0.6947920446914665,0.9942847833185422,0.5,0.6464461493620659,1.9,0.3402348154537189,global_noQEC
0.164,group_noQEC,group_noQEC,1,1,1,1.0,0.164,0.836,0.6947920446914665,0.9942847833185422,0.5,0.9132220788543012,2.9,0.31490416512217284,group_noQEC
0.164,rep3_toy,rep3_toy,3,1,1,3.0,0.07186611200000001,0.928133888,0.6947920446914665,0.9942847833185422,0.5,0.9587624577206761,8.6,0.11148400671170654,group_QEC
0.164,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.1911174952407041,0.8088825047592959,0.6947920446914665,0.9942847833185422,0.5,0.8998183135951083,12.4,0.07256599303186358,group_QEC
0.164,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3227027185146343,0.6772972814853657,0.6947920446914665,0.9942847833185422,0.5,0.8347777400212317,16.2,0.051529490124767395,group_QEC
0.164,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.44838248272964576,0.5516175172703542,0.6947920446914665,0.9942847833185422,0.5,0.7726561449986893,20.0,0.03863280724993447,group_QEC
0.164,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.2647254577349707,0.7352745422650293,0.6947920446914665,0.9942847833185422,0.5,0.8634350178031103,23.799999999999997,0.03627878226063489,group_QEC
0.166,global_noQEC,global_noQEC,1,1,1,1.0,0.166,0.834,0.6947920446914665,0.9942847833185422,0.5,0.6458565652726831,1.9,0.33992450803825425,global_noQEC
0.166,group_noQEC,group_noQEC,1,1,1,1.0,0.166,0.834,0.6947920446914665,0.9942847833185422,0.5,0.9122335092876641,2.9,0.31456327906471176,group_noQEC
0.166,rep3_toy,rep3_toy,3,1,1,3.0,0.07351940800000002,0.926480592,0.6947920446914665,0.9942847833185422,0.5,0.9579452586655548,8.6,0.11138898356576218,group_QEC
0.166,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.19495987983769614,0.8050401201623039,0.6947920446914665,0.9942847833185422,0.5,0.8979190813571576,12.4,0.07241282914170626,group_QEC
0.166,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.32832862398080265,0.6716713760191974,0.6947920446914665,0.9942847833185422,0.5,0.8319969405569161,16.2,0.05135783583684667,group_QEC
0.166,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4551068088779281,0.5448931911220719,0.6947920446914665,0.9942847833185422,0.5,0.7693324129055223,20.0,0.03846662064527612,group_QEC
0.166,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.2710947210866087,0.7289052789133913,0.6947920446914665,0.9942847833185422,0.5,0.8602867878474472,23.799999999999997,0.03614650369106921,group_QEC
0.168,global_noQEC,global_noQEC,1,1,1,1.0,0.168,0.832,0.6947920446914665,0.9942847833185422,0.5,0.6452669811833002,1.9,0.3396142006227896,global_noQEC
0.168,group_noQEC,group_noQEC,1,1,1,1.0,0.168,0.832,0.6947920446914665,0.9942847833185422,0.5,0.911244939721027,2.9,0.3142223930072507,group_noQEC
0.168,rep3_toy,rep3_toy,3,1,1,3.0,0.075188736,0.924811264,0.6947920446914665,0.9942847833185422,0.5,0.9571201352367871,8.6,0.11129303898102176,group_QEC
0.168,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.19882096135372818,0.8011790386462718,0.6947920446914665,0.9942847833185422,0.5,0.8960106075166304,12.4,0.07225891996101858,group_QEC
0.168,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.33395485612049236,0.6660451438795076,0.6947920446914665,0.9942847833185422,0.5,0.8292159796228497,16.2,0.05118617158165739,group_QEC
0.168,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4617993503294162,0.5382006496705838,0.6947920446914665,0.9942847833185422,0.5,0.7660243915043231,20.0,0.03830121957521616,group_QEC
0.168,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.27749534824902167,0.7225046517509783,0.6947920446914665,0.9942847833185422,0.5,0.8571230552373711,23.799999999999997,0.036013573749469376,group_QEC
0.17,global_noQEC,global_noQEC,1,1,1,1.0,0.17,0.83,0.6947920446914665,0.9942847833185422,0.5,0.6446773970939172,1.9,0.3393038932073249,global_noQEC
0.17,group_noQEC,group_noQEC,1,1,1,1.0,0.17,0.83,0.6947920446914665,0.9942847833185422,0.5,0.91025637015439,2.9,0.31388150694978967,group_noQEC
0.17,rep3_toy,rep3_toy,3,1,1,3.0,0.07687400000000001,0.923126,0.6947920446914665,0.9942847833185422,0.5,0.9562871348857125,8.6,0.11119617847508285,group_QEC
0.17,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.20270020720000015,0.7972997927999999,0.6947920446914665,0.9942847833185422,0.5,0.8940931553240665,12.4,0.07210428671968278,group_QEC
0.17,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3395804457946201,0.6604195542053799,0.6947920446914665,0.9942847833185422,0.5,0.8264353362497344,16.2,0.051014526928995954,group_QEC
0.17,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.46845903321518656,0.5315409667848134,0.6947920446914665,0.9942847833185422,0.5,0.76273261159216,20.0,0.038136630579608,group_QEC
0.17,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.2839253521976868,0.7160746478023132,0.6947920446914665,0.9942847833185422,0.5,0.8539448021288678,23.799999999999997,0.03588003370289361,group_QEC
0.17200000000000001,global_noQEC,global_noQEC,1,1,1,1.0,0.17200000000000001,0.828,0.6947920446914665,0.9942847833185422,0.5,0.6440878130045342,1.9,0.3389935857918601,global_noQEC
0.17200000000000001,group_noQEC,group_noQEC,1,1,1,1.0,0.17200000000000001,0.828,0.6947920446914665,0.9942847833185422,0.5,0.9092678005877529,2.9,0.3135406208923286,group_noQEC
0.17200000000000001,rep3_toy,rep3_toy,3,1,1,3.0,0.078575104,0.921424896,0.6947920446914665,0.9942847833185422,0.5,0.9554463050636702,8.6,0.11109840756554305,group_QEC
0.17200000000000001,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.2065970892574721,0.7934029107425279,0.6947920446914665,0.9942847833185422,0.5,0.8921669858206711,12.4,0.07194895046940895,group_QEC
0.17200000000000001,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.34520444239687054,0.6547955576031295,0.6947920446914665,0.9942847833185422,0.5,0.8236554803078069,16.2,0.05084293088319796,group_QEC
0.17200000000000001,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.4750848220612449,0.5249151779387551,0.6947920446914665,0.9942847833185422,0.5,0.7594575849880716,20.0,0.03797287924940358,group_QEC
0.17200000000000001,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.2903827593347297,0.7096172406652703,0.6947920446914665,0.9942847833185422,0.5,0.8507530040413349,23.799999999999997,0.035745924539551895,group_QEC
0.17400000000000002,global_noQEC,global_noQEC,1,1,1,1.0,0.17400000000000002,0.826,0.6947920446914665,0.9942847833185422,0.5,0.6434982289151513,1.9,0.33868327837639545,global_noQEC
0.17400000000000002,group_noQEC,group_noQEC,1,1,1,1.0,0.17400000000000002,0.826,0.6947920446914665,0.9942847833185422,0.5,0.9082792310211157,2.9,0.3131997348348675,group_noQEC
0.17400000000000002,rep3_toy,rep3_toy,3,1,1,3.0,0.08029195200000001,0.919708048,0.6947920446914665,0.9942847833185422,0.5,0.9545976932219994,8.6,0.11099973176999993,group_QEC
0.17400000000000002,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.21051108386150408,0.7894889161384959,0.6947920446914665,0.9942847833185422,0.5,0.8902323578459072,12.4,0.07179293208434735,group_QEC
