construction,delta_deg,P_base_opt,P_group,gain,epsilon_global,epsilon_in,overlap_ratio,P_fallback
controlled_overlap_sweep,62.0,0.6925094511803541,0.9844969358529041,0.29198748467255,0.9951340343707853,0.11697777844051101,8.507034820094999,0.5
controlled_overlap_sweep,64.0,0.6898188520805801,0.9801520248644431,0.29033317278386295,0.9951340343707853,0.14033009983067438,7.091379793583398,0.5
controlled_overlap_sweep,66.0,0.6867237480896918,0.9752564424160317,0.2885326943263399,0.9951340343707853,0.16543469682057085,6.015267978821273,0.5
controlled_overlap_sweep,68.0,0.683228175147432,0.9698173985972358,0.28658922344980386,0.9951340343707853,0.19216926233717085,5.178424594380611,0.5
controlled_overlap_sweep,70.0,0.6793367033472156,0.963842948634363,0.2845062452871474,0.9951340343707853,0.2204035482646266,4.5150545089046465,0.5
controlled_overlap_sweep,72.0,0.6750544360730645,0.9573420041020965,0.282287568029032,0.9951340343707853,0.25,3.980536137483141,0.5
controlled_overlap_sweep,74.0,0.6703870094556488,0.9503243470165279,0.27993733756087913,0.9951340343707853,0.28081442660546124,3.543742557674678,0.5
controlled_overlap_sweep,76.0,0.6653405923384214,0.9428006475270138,0.2774600551885924,0.9951340343707853,0.31269670329204396,3.1824257304093706,0.5
controlled_overlap_sweep,78.0,0.6599218850664248,0.9347824860900061,0.27486060102358134,0.9951340343707853,0.3454915028125263,2.880343007772246,0.5
controlled_overlap_sweep,80.0,0.654138127618167,0.9262823812140031,0.27214425359583605,0.9951340343707853,0.37903905220016615,2.6254129451686854,0.5
controlled_overlap_sweep,82.0,0.6479970963399013,0.917313824121705,0.2693167277818037,0.9951340343707853,0.41317591116653474,2.4084996425885206,0.5
controlled_overlap_sweep,84.0,0.6415071116022524,0.9078913219968137,0.2663842103945613,0.9951340343707853,0.4477357683661733,2.2225922177317123,0.5
controlled_overlap_sweep,86.0,0.6346770451634719,0.8980304518856044,0.2633534067221325,0.9951340343707853,0.4825502516487495,2.062239178138794,0.5
controlled_overlap_sweep,88.0,0.6275163440436033,0.8877479278284258,0.2602315837848225,0.9951340343707855,0.5174497483512503,1.9231510645073848,0.5
controlled_overlap_sweep,90.0,0.6200349977762031,0.8770616844294332,0.25702668665323014,0.9951340343707853,0.5522642316338268,1.8019165054864514,0.5
