M,s,entropy,Lbar,n_fix,G_comp,eta_Huff,eta_fix,P_full,P_fix,C_A,C_QEC,P_group_Huff,P_group_fix,baseline_type
16,0.1,3.9955630674232534,3.9999999999999996,4,4.440892098500626e-16,0.059664900156589734,0.059663269380011534,0.7756437020356666,0.7756225019401499,2,7.0,0.8000554616572094,0.8000332769943257,fixed_length_grouped
16,0.2,3.981350225274448,4.0,4,0.0,0.05967795983784764,0.059671105188766276,0.7758134778920194,0.7757243674539616,2,7.0,0.8002331221840695,0.8001398733104417,fixed_length_grouped
16,0.30000000000000004,3.956040428906172,3.986941738149012,4,0.013058261850988018,0.059790071218839974,0.059685058958314045,0.7764901714388548,0.7759057664580826,2,7.0,0.8009412424942025,0.8003296967832038,fixed_length_grouped
16,0.4,3.918422931560981,3.951054386178956,4,0.04894561382104401,0.06006988604566881,0.05970579819624708,0.7779683611490291,0.776175376551212,2,7.0,0.8024880817701191,0.8006118280132927,fixed_length_grouped
16,0.5,3.8674907711453073,3.9018161643459965,4,0.09818383565400346,0.060455701611536496,0.059733878059817266,0.7799883482785999,0.7765404147776245,2,7.0,0.8046018804303039,0.8009938192164102,fixed_length_grouped
16,0.6000000000000001,3.8025375699035893,3.841196131124268,4,0.15880386887573206,0.06093685608206737,0.059769687988444446,0.7825021205639198,0.7770059438497778,2,7.0,0.8072323964424771,0.8014809682257231,fixed_length_grouped
16,0.7000000000000001,3.7232464398021343,3.753283182444185,4,0.2467168175558152,0.061628805765945475,0.05981340268849651,0.7859696121289517,0.7775742349504546,2,7.0,0.8108609240291478,0.802075651701484,fixed_length_grouped
16,0.8,3.6297583494059573,3.652566712922698,4,0.34743328707730203,0.06243584930796876,0.05986494444133669,0.7899737486470633,0.778244277737377,2,7.0,0.8150510192447447,0.8027768123794554,fixed_length_grouped
16,0.9,3.5227081841510337,3.544069362562051,4,0.45593063743794904,0.06332577820819599,0.05992396322261341,0.7943629542818309,0.7790115218939744,2,7.0,0.8196440668212506,0.8035796886188673,fixed_length_grouped
16,1.0,3.4032202474706903,3.4331711237035503,4,0.5668288762964497,0.06426112487675358,0.05998983918257434,0.7989695621943604,0.7798679093734664,2,7.0,0.8244646131955099,0.8044758481439699,fixed_length_grouped
16,1.1,3.2728606750135874,3.3240394633541737,4,0.6759605366458263,0.0652103875134649,0.06006170888100826,0.8036553891365597,0.7808022154531074,2,7.0,0.829368057661705,0.8054535449373982,fixed_length_grouped
16,1.2000000000000002,3.1335509814023568,3.20166427207696,4,0.7983357279230399,0.0662883179452111,0.06013851295055255,0.8088278007281604,0.7818006683571832,2,7.0,0.8347806845701617,0.8064983676394823,fixed_length_grouped
16,1.3,2.9874531101097674,3.035071677551966,4,0.9649283224480341,0.06774774350546936,0.060219059470871125,0.8153489490807293,0.7828477731213246,2,7.0,0.8416046857970689,0.8075941016741768,fixed_length_grouped
16,1.4000000000000001,2.83684040495843,2.870614172711145,4,1.1293858272888548,0.06923507126647292,0.06030209510450751,0.8218628182244596,0.7839272363585976,2,7.0,0.8484210697566853,0.8087236969628118,fixed_length_grouped
16,1.5,2.6839699926504665,2.7101209995357247,4,1.2898790004642753,0.0707328305563914,0.06038637545481058,0.8282900044550012,0.7850228809125375,2,7.0,0.8551467451057975,0.8098702250551215,fixed_length_grouped
16,1.6,2.530970179845854,2.55556924720178,4,1.4444307527982199,0.07222044941551814,0.06047072714605543,0.8345484042850533,0.7861194528987205,2,7.0,0.8616957953358735,0.8110177236511561,fixed_length_grouped
16,1.7000000000000002,2.379752439114037,2.4119961456562504,4,1.5880038543437496,0.07364800721399171,0.06055409634725339,0.8404707744613371,0.787203252514294,2,7.0,0.867893210141387,0.8121518567066448,fixed_length_grouped
16,1.8,2.2319526160303633,2.2733483171791304,4,1.7266516828208696,0.07506297972600616,0.06063558118579185,0.8462111161766228,0.788262555415294,2,7.0,0.8739001427842465,0.8132603553797724,fixed_length_grouped
16,1.9000000000000001,2.08890133248014,2.138564756467552,4,1.8614352435324482,0.07647160751600751,0.06071444806465279,0.8517839523482205,0.7892878248404862,2,7.0,0.8797317906499716,0.814333240006399,fixed_length_grouped
16,2.0,1.9516200225572145,2.0166998111297483,4,1.9833001888702517,0.0777835033236692,0.06079013384789684,0.8569175063748766,0.7902717400226589,2,7.0,0.8851037553841424,0.815362849830821,fixed_length_grouped
32,0.0,5.0,5.0,5,0.0,0.051389042913690466,0.051389042913690466,0.770835643705357,0.770835643705357,3,7.0,0.8,0.8,fixed_length_grouped
32,0.1,4.99451069341718,5.0,5,0.0,0.051392540039144084,0.05139114118896264,0.7708881005871613,0.7708671178344396,3,7.0,0.8000548930658282,0.800032935839497,fixed_length_grouped
