M,source_type,grouping_strategy,baseline_type,result_type,eta_mean,eta_std,eta_min,eta_max,M_res_mean,M_res_std,M_res_min,M_res_max,r_res_pos,P_group_mean,P_base_mean,r_cert_pos
4,zipf,overlap_aware,pgm_fixed_global,approximate,0.10182952255287574,0.0030371955630121893,0.09964265906772443,0.10529735484316124,-3.838758452133972,0.16411438842212892,-4.003573409322755,-3.675353721102759,0.0,0.9934093832596959,0.991731465316987,
4,zipf,overlap_aware,random_support,approximate,0.10061355729945493,0.004945525821524924,0.09640559902066866,0.10606089418135264,-3.609123227660458,0.19412235906542064,-3.772460689341232,-3.3945103525417863,0.0,0.981083441463654,0.9432227660018184,
4,zipf,probability_aware,pgm_fixed_global,approximate,0.10182952255287574,0.0030371955630121893,0.09964265906772443,0.10529735484316124,-3.838758452133972,0.16411438842212892,-4.003573409322755,-3.675353721102759,0.0,0.9934093832596959,0.991731465316987,
4,zipf,random,pgm_fixed_global,approximate,0.10182952255287574,0.003037195563012179,0.09964265906772443,0.10529735484316122,-3.838758452133972,0.16411438842212892,-4.003573409322755,-3.675353721102759,0.0,0.9934093832596957,0.991731465316987,
8,dirichlet,overlap_aware,equal_support,approximate,0.0831419382926993,0.00010598913796334385,0.0830669926545133,0.08321688393088529,-3.0022967404876084,0.0012718696555601263,-3.0031960881458404,-3.0013973928293765,0.0,1.0,1.0,
8,dirichlet,overlap_aware,pgm_fixed_global,approximate,0.0864109870303515,0.003440882370521824,0.08397791577289027,0.08884405828781271,-2.792578627571273,0.08125462783150608,-2.85003432591372,-2.7351229292288255,0.0,0.9981145836335883,0.9857621622839865,
8,dirichlet,overlap_aware,random_support,approximate,0.08634794711671281,0.0035524413453476207,0.08383599175165005,0.08885990248177557,-2.7782293510629557,0.07968196542894705,-2.834573009156036,-2.721885692969875,0.0,0.9973576229993403,0.9818454773549536,
8,dirichlet,probability_aware,pgm_fixed_global,approximate,0.08623156188437285,0.0036946278453955784,0.083619065480933,0.08884405828781271,-2.7947024657693786,0.08425818861555365,-2.854282002309932,-2.7351229292288255,0.0,0.9959739272974101,0.9857621622839865,
8,dirichlet,random,pgm_fixed_global,approximate,0.08612760022058583,0.00373504818828028,0.08348652231859431,0.08876867812257734,-2.795910136711713,0.08476904459028477,-2.8558509029762082,-2.7359693704472177,0.0,0.9952967115563822,0.9857621622839865,
8,near_uniform,overlap_aware,equal_support,approximate,0.08293312357707493,,0.08293312357707493,0.08293312357707493,-3.0048025170751007,,-3.0048025170751007,-3.0048025170751007,0.0,0.9999999999999998,1.0,
8,near_uniform,overlap_aware,pgm_fixed_global,approximate,0.08293312357707493,,0.08293312357707493,0.08293312357707493,-3.0048025170751003,,-3.0048025170751003,-3.0048025170751003,0.0,0.9999999999999998,0.9999999999999999,
8,near_uniform,overlap_aware,random_support,approximate,0.08159553678402287,,0.08159553678402287,0.08159553678402287,-2.6718279822086943,,-2.6718279822086943,-2.6718279822086943,0.0,0.9838218543411332,0.9127436059042422,
8,near_uniform,probability_aware,pgm_fixed_global,approximate,0.08293312357707493,,0.08293312357707493,0.08293312357707493,-3.0048025170751003,,-3.0048025170751003,-3.0048025170751003,0.0,0.9999999999999998,0.9999999999999999,
8,near_uniform,random,pgm_fixed_global,approximate,0.08292931506675637,,0.08292931506675637,0.08292931506675637,-3.004848219198923,,-3.004848219198923,-3.004848219198923,0.0,0.9999999999999997,0.9999999999999999,
8,strong_skew,overlap_aware,equal_support,approximate,0.08321642063344761,,0.08321642063344761,0.08321642063344761,-3.001402952398627,,-3.001402952398627,-3.001402952398627,0.0,0.9999999999999999,0.9999999999999998,
8,strong_skew,overlap_aware,pgm_fixed_global,approximate,0.09320239110946134,,0.09320239110946134,0.09320239110946134,-2.5320880781365327,,-2.5320880781365327,-2.5320880781365327,0.0,0.9999999999999999,0.9885918352066132,
8,strong_skew,overlap_aware,random_support,approximate,0.09320239110946134,,0.09320239110946134,0.09320239110946134,-2.4896631640535856,,-2.4896631640535856,-2.4896631640535856,0.0,0.9999999999999999,0.976712859263388,
8,strong_skew,probability_aware,pgm_fixed_global,approximate,0.09320239110946134,,0.09320239110946134,0.09320239110946134,-2.5320880781365327,,-2.5320880781365327,-2.5320880781365327,0.0,0.9999999999999999,0.9885918352066132,
8,strong_skew,random,pgm_fixed_global,approximate,0.09287098740080231,,0.09287098740080231,0.09287098740080231,-2.5356388321578796,,-2.5356388321578796,-2.5356388321578796,0.0,0.9964211284547075,0.9885918352066132,
8,zipf,overlap_aware,equal_support,approximate,0.08311452720130469,0.0001504663612554198,0.08296127718471524,0.08326204614573605,-3.002625673584344,0.0018055963350650235,-3.004464673783417,-3.000855446251167,0.0,1.0,1.0,
8,zipf,overlap_aware,pgm_fixed_global,approximate,0.08680639008379602,0.004924370602903398,0.08296127718471526,0.09235672215067152,-2.813742927041716,0.21860090509718402,-3.004464673783417,-2.5751854503621487,0.0,0.9973291682989801,0.9949020062551547,
8,zipf,overlap_aware,random_support,approximate,0.08634141840106187,0.005612581750092031,0.08170802740553405,0.09258237686317812,-2.6066501460379574,0.1443234730747095,-2.7648690612128117,-2.482215794175799,0.0,0.9916512419093971,0.9414920902173779,
8,zipf,probability_aware,pgm_fixed_global,approximate,0.08680639008379602,0.004924370602903398,0.08296127718471526,0.09235672215067152,-2.813742927041716,0.21860090509718402,-3.004464673783417,-2.5751854503621487,0.0,0.9973291682989801,0.9949020062551547,
8,zipf,random,pgm_fixed_global,approximate,0.08697110740380058,0.005021557542398921,0.0829530340459221,0.0926005522116189,-2.811893874592132,0.21974982472832574,-3.004563591448935,-2.5725598181839184,0.0,0.9993910361789963,0.9949020062551547,
16,dirichlet,overlap_aware,equal_support,approximate,0.07656049323484573,3.155413816240158e-05,0.07652426541092255,0.07659827335776909,-2.2547135879470055,0.00041020379611129645,-2.255184549658007,-2.2542224463490017,0.0,0.9999999999999999,1.0,
