dataset,M,source_type,source_param,seed,baseline_type,grouping_strategy,R_sup,A_Huff,A_sep,r_sep,epsilon_in,P_base,P_group,P_full,M_res,Delta_P_group,positive_margin
default_benchmark,8,strong_skew,0.75,4155,pgm_fixed_global,random,0.1206896551724138,0.0060399458283823,0.0040701781528195,,0.0735379932210146,0.9885918352066132,0.9964211284547076,0.9950462935800246,-2.5356388321578796,0.007829293248094449,False
default_benchmark,8,strong_skew,0.75,4155,pgm_fixed_global,probability_aware,0.1206896551724138,0.0060399458283823,0.0060399458283823,,0.0,0.9885918352066132,1.0,0.9985970476013714,-2.5320880781365327,0.011408164793386799,False
default_benchmark,8,strong_skew,0.75,4155,pgm_fixed_global,overlap_aware,0.1206896551724138,0.0060399458283823,0.0060399458283823,,0.0,0.9885918352066132,1.0,0.9985970476013714,-2.5320880781365327,0.011408164793386799,False
default_benchmark,8,strong_skew,0.75,4155,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,0.9999999999999998,1.0,0.9985970476013714,-3.001402952398627,2.220446049250313e-16,False
default_benchmark,8,strong_skew,0.75,4155,random_support,overlap_aware,0.2241379310344827,0.0052966290542876,0.0052966290542876,,0.0,0.976712859263388,1.0,0.9985970476013714,-2.4896631640535856,0.023287140736611978,False
default_benchmark,16,zipf,0.2,1162,pgm_fixed_global,random,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.9945154814385244,-2.2554845185614756,-2.220446049250313e-16,False
default_benchmark,16,zipf,0.2,1162,pgm_fixed_global,probability_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9945852989324874,-2.2554147010675125,0.0,False
default_benchmark,16,zipf,0.2,1162,pgm_fixed_global,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9945852989324874,-2.2554147010675125,0.0,False
default_benchmark,16,zipf,0.2,1162,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9945852989324876,-2.2554147010675125,0.0,False
default_benchmark,16,zipf,0.2,1162,random_support,overlap_aware,0.0833333333333333,0.0184604582474849,0.0176621205130996,,0.2499999999999999,0.8433682372600542,0.9924354794557902,0.9870802092968328,-1.753866561798343,0.14906724219573608,False
default_benchmark,16,zipf,0.8,1168,pgm_fixed_global,random,0.0638297872340425,0.0025308138651485,0.0019562082981746,,0.025847643585056,0.9864819492401607,0.998151726920843,0.9941156938832052,-2.126266474580585,0.011669777680682225,False
default_benchmark,16,zipf,0.8,1168,pgm_fixed_global,probability_aware,0.0638297872340425,0.0025308138651485,0.0022262335039792,,0.0624999999999999,0.9864819492401607,0.9977877562710484,0.9941650113581144,-2.1262171571056756,0.011305807030887682,False
