M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,primal_psd_residual,certificate_gap,positive_certificate,decoding_method,result_type
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,0,random,"1,2|0,3",optimized,0.9570805165032444,0.8629663314837374,0.957080893714627,0.8629644127338597,2.754319419851122,2,-0.0839996786759506,0.0,2.8066870181706166e-15,0.0,5.0209965993808225e-06,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,0,overlap_aware,"0,1|2,3",optimized,0.9256149488755083,0.8629663314837374,0.9256155907878475,0.8629644127338597,2.754319419851122,2,-0.09542375948551657,0.0,3.598790167137429e-15,0.0,5.608483143682008e-06,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,1,random,"1,2|0,3",optimized,0.999999965051996,0.9776953674879686,1.0,0.9776950384565919,2.754319419851122,2,-0.1257816000338936,0.0,4.529099175143636e-15,0.0,1.6222585939029699e-06,False,exact_sdp,exact
4,dirichlet,0.5,7450,0.0016437816;0.48872377;0.24139941;0.26823304,3;1;3;2,1.754319419851122,1,overlap_aware,"0,1|2,3",optimized,0.9999995763165872,0.9776953674879686,1.0,0.9776950384565919,2.754319419851122,2,-0.12578174117054097,0.0,4.529099175143636e-15,0.0,8.690399450728137e-06,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,0,random,"1,2|0,3",optimized,0.972205887836468,0.9527004714008458,0.9722067014280389,0.9526999555791659,2.330800007217471,2,-0.05923770574248127,0.0,3.584749197748758e-15,0.0,4.1482557153749156e-06,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,0,overlap_aware,"2|0,1,3",optimized,0.9722065036106478,0.9527004714008458,0.9722068623463989,0.9526999555791659,2.330800007217471,2,-0.05923744155242727,0.0,3.2690284408747415e-15,0.0,1.749114862059642e-06,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,1,random,"1,2|0,3",optimized,0.9999998217290592,0.982120579336392,1.0,0.9821145864048004,2.330800007217471,2,-0.062023127049139926,0.0,4.082494753468649e-15,0.0,1.4086665291346279e-05,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,1,overlap_aware,"2|0,1,3",optimized,0.9999999886032572,0.982120579336392,1.0,0.9821145864048004,2.330800007217471,2,-0.06202305545389469,0.0,2.8400286489606643e-15,0.0,1.268231154960553e-05,False,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,0,random,"2,3|0,1",optimized,0.9999998658646809,1.0000047257844813,1.0,1.0,3.0,2,-0.16666907427068034,0.0,5.768888059150692e-16,0.0,1.8387254191232216e-05,False,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,0,overlap_aware,"2,3|0,1",optimized,0.9999998658646809,1.0000047257844813,1.0,1.0,3.0,2,-0.16666907427068034,0.0,5.768888059150692e-16,0.0,1.8387254191232216e-05,False,exact_sdp,exact
